;Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
207;Senegal;SEN;GDP (constant 2015 US$);NY.GDP.MKTP.KD;3845391088,817034;3960500881,263127;3955105278,5803323;4028847368,8305397;4185324863,766917;4241081321,7418346;4363087094,119213;4309866469,041893;4580990408,1816635;4280745749,626622;4647265148,899536;4640738091,079259;4936966098,690624;4661323427,349614;4857135161,074652;5223152478,795586;5689083989,145283;5536451252,991162;5317543776,1191845;5689861473,770869;5916759605,7859535;6223261342,337589;6721768496,387665;6342159290,412573;6591776687,567879;6820055481,96641;7033317631,21944;7473312375,261261;7412287138,202846;7706835367,716944;7649320625,419202;7852789697,572366;7956464821,455503;8064689690,815609;8060857273,767908;8501672094,081993;8673403932,727365;8937561212,659597;9464741412,294392;10059440290,32358;10450471955,619398;10900976279,141333;10908464876,45853;11518679050,452333;12053525176,405252;12573060862,347553;12866110116,640099;13229850386,212374;13719774112,916677;14097356631,548458;14575382382,575762;14769831258,761127;15361066946,92545;15731635064,19815;16710783740,894173;17774766636,04594;18904542991,913788;20304894402,62319;21565674237,75908;22515082954,714382;22852755934,489468;
208;Singapore;SGP;GDP (constant 2015 US$);NY.GDP.MKTP.KD;5942828047,716035;6426389292,988074;6911841722,432358;7605833575,792847;7369799243,526335;7947192318,8827505;8756182717,486185;9851469304,626133;11184099505,382607;12731233633,98313;14506255455,338964;16307026476,578419;18478396857,72477;20437590922,315983;21687881873,727097;22551425661,914467;24228615071,2831;25888929298,807106;27902385801,571144;30568228105,906322;33659659586,849003;37300334594,12279;39949447192,318886;43366962467,26797;47179953447,77422;46886092522,54874;47515711376,20018;52646348559,79052;58576302007,56474;64526840267,67531;70864052953,15683;75603796915,91504;80623654349,72359;89865362234,50682;99838303753,2732;107027567646,20306;115024003491,41692;124593904567,93712;121858597614,1984;128833794006,40091;140479269711,9581;138977524003,49142;144417951702,06577;150968431771,8941;165792915333,1394;177993671806,80832;194022257782,95032;211527203956,93927;215479051498,39987;215739743962,7583;247077320337,50372;262736761710,79437;274459048588,88574;287735452429,44434;299066482397,43964;308004146057,6084;318257710212,39453;332644166424,20715;344278295024,7309;348909586848,9963;330099796334,01227;
209;Solomon Islands;SLB;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;547373489,1170509;537559469,4889421;528574803,63222283;549170422,2883947;550138001,6883491;532859798,11773515;531753993,0892159;576539096,7442473;583726829,4296228;608607442,5713068;622015328,5421032;659336248,2546294;743100979,1649659;772819489,3064219;835435699,0463269;919753332,4709231;934543474,7273687;925973485,7563442;937999115,4414915;933437669,6988493;800188163,7622744;736466148,99385;715870530,3376781;762590792,7926183;813319598,4759408;858381153,388102;900125293,2147053;940210725,4985297;994809848,7816699;1020243364,4376137;1108154864,2048976;1188740405,6582413;1210856506,2286272;1275407874,768441;1288815760,7392373;1307061543,7098057;1383914993,1918967;1457865704,4741244;1515367565,9571278;1533613348,9276962;1467403272,8451035;
210;Sierra Leone;SLE;GDP (constant 2015 US$);NY.GDP.MKTP.KD;1151844102,951325;1172681464,4024804;1225932543,4698718;1246769904,9210272;1330119450,2334065;1425624098,9735408;1449859708,6276958;1450385740,2509594;1479682427,488547;1605831965,6781511;1744262601,7206488;1804717286,902302;1820963977,2584393;1862056182,6928587;1927224952,3096418;1959394509,665671;1950593373,0909705;1951503828,3445606;1998463492,6906261;2088619488,9144363;2189781852,314646;2252878852,1188006;2360606011,3190575;2310967149,9319334;2405555827,2772985;2277788566,409656;2305943101,616836;2472692044,0865316;2297625447,377021;2314398113,1129065;2391930403,241082;2448187664,9737945;1982715956,5693057;2009969366,4319086;1970827537,8603976;1813166197,145611;1844965893,9136853;1736535735,1821718;1767533146,0550034;1732548617,2264557;1847810362,2007473;1730558384,3488526;2187725471,6925025;2391470991,3404326;2549258928,6987214;2664105482,3534536;2776635014,234301;3000380294,0305552;3162349379,6751814;3263166697,5142026;3437630797,229216;3654718730,258588;4209569688,5204196;5081614391,026646;5313171991,351398;4218723875,1379037;4474187603,74251;4661772843,959745;4823284725,671955;5076711739,042841;4976753933,906003;
211;El Salvador;SLV;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;8437241153,414936;9041443613,833193;9533013237,094929;9841567550,521574;10184587397,983421;10487812618,642853;10892459437,130312;11558809312,444323;12120760882,418161;12767524816,510086;13140787475,811934;13804300024,741138;14740240087,812475;15524828551,439001;14875849509,353683;12519981409,984867;11803714468,98638;11059080520,423595;11229282565,809376;11379222462,934942;11449126874,432674;11471415237,518908;11759137742,813913;11979995158,850224;12095489403,93343;12680052381,240541;12869503467,473522;13773195279,878967;14574563243,570345;15258410747,352491;15980756332,82904;16110434081,694397;16615974680,78668;17056676405,446285;17425447503,78214;17621990341,906193;17776995776,096813;18056613422,087738;18339270390,31769;18502380683,812397;19003868853,25264;19829551394,856274;20198322493,19213;20627880036,30862;20197309385,77912;20622814499,24357;21409998959,152798;22012797869,894096;22504154965,204235;22889135782,14826;23438240000,0;24034960266,263237;24574946517,39788;25172679891,07413;25772439479,5764;23560825996,97428;
212;San Marino;SMR;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1248960787,2858348;1342203439,3818302;1463664262,506877;1495563064,5397174;1578990700,625608;1583898208,6306603;1645242058,6938152;1720081555,7708645;1761795373,8138096;1829273608,8832803;1959322571,0171688;1949507555,007064;1748299726,799916;1652603320,7013943;1515193096,5599272;1408454797,4500377;1397412904,43867;1387597888,428565;1419394771,2102852;1452671145,4109397;1456422893,3188484;1478921148,0419462;1514041111,688507;;
213;Somalia;SOM;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4316495473,4752;4640539106,842285;5331761394,255009;5779594469,97199;5929433937,274997;6384748042,260301;6900727625,84454;7069119938,5636425;
214;Serbia;SRB;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21208001183,6995;22536487904,759975;24160778190,520477;24967960158,586323;22614939243,498383;24001645048,22105;25652664150,998882;27289408095,10768;28486801015,334793;31058645509,56977;32776296417,470966;34450440854,542816;36668885796,89261;38742722729,4199;37684367630,59753;37959857147,32096;38732824869,45302;38468844257,127464;39581608177,08438;38952454430,326225;39655958842,54775;40979907436,16937;41840962435,921234;43721764447,475174;45615675379,60177;45184791299,44105;
215;Sub-Saharan Africa (excluding high income);SSA;GDP (constant 2015 US$);NY.GDP.MKTP.KD;255609707422,63507;258138243581,41443;273732991757,25104;291055208908,7198;305863653519,54755;320267356845,49;324925531869,95233;320862279968,13385;330524922433,4829;361966981596,28766;399355844595,2698;430951684282,08234;442780651916,65216;462225310304,35406;498542387688,6852;496666385293,435;522899053846,8897;537681554597,0694;535403125968,97394;557502755064,4551;578812491535,9626;573620080159,8582;566780799708,9094;552556259204,914;565095463080,5815;576273311791,2904;587237050872,0411;604618057669,705;631472982671,3138;647250519217,6226;663538191400,0806;666072459992,3839;663740722698,5938;656268930915,4875;663447713189,8248;686102258194,3503;721758056768,9855;748727451855,5989;767176402304,2502;783519741536,4651;810262312832,6115;844369801377,1055;898305277906,1387;934316899605,3003;996584863035,4574;1057764832781,3749;1122533446133,709;1193138063115,0486;1256371373842,818;1296373899260,257;1373269829924,463;1433351802880,6614;1481553491228,101;1557227280700,5662;1632867751918,1543;1679282214816,954;1698766997422,8875;1740214923008,654;1787017802409,4814;1833089644759,921;1796341475426,858;
216;South Sudan;SSD;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20185217785,810913;21202884179,235943;22367646895,014446;21329717232,693787;11500530835,431532;13010519613,87634;13449448810,700138;11997800760,224182;;;;;;
